"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1947521436714995910","Tue Jul 22 23:59:20 +0000 2025","0","@rhinoprit @inijuntak @catchmeupco Melanggar yg mana hayo? Vonis dijatuhkan tapi ga menginclude semua counter dari tim hukum tom lembong Coba bagian mananya yg dia langgar persis?","1947808715127853528","","rhinoprit","in","","0","1","0","https://x.com/undefined/status/1947808715127853528","1517828498433339392",
"1947808000024186993","Tue Jul 22 23:56:30 +0000 2025","148","tak ada unsur mens rea sehingga tdk bisa dipidanakan. Dalilnya 'geen straf zonder schuld' artinya 'tdk ada pemidanaan jika tdk ada kesalahan'. Unsur utama kesalahan itu adalah mens rea Tom hanya melaksanakan tugas dari atas yg bersifat administratif https://t.co/pLiZAOoDVt","1947808000024186993","","","in","","3","12","60","https://x.com/undefined/status/1947808000024186993","178237411",
"1947803424671825968","Tue Jul 22 23:38:19 +0000 2025","0","Wajah Keadilan Jadi Taruhan Usai Vonis Tom Lembong https://t.co/dGUzmJp1ak https://t.co/lGMl9dQsEu","1947803424671825968","https://pbs.twimg.com/media/Gwf85GnbEAA0TWV.jpg","","in","","0","0","0","https://x.com/undefined/status/1947803424671825968","1869440066881552384",
"1947798902507262280","Tue Jul 22 23:20:21 +0000 2025","0","Vonis hakim Pengadilan Tindak Pidana Korupsi (Tipikor) Jakarta terhadap Tom Lembong menuai banyak kritikan. https://t.co/U6ehkD3oDr","1947798902507262280","","","in","","0","0","0","https://x.com/undefined/status/1947798902507262280","103551225",
"1947797331652579470","Tue Jul 22 23:14:06 +0000 2025","0","WARGANET SERBU AKUN INSTAGRAM RI 1! soal Vonis 4 5 Tahun Tom Lembong: #NyeselDukungPrabowo https://t.co/FAnVwNuDNz https://t.co/x8p3HCEkPy","1947797331652579470","https://pbs.twimg.com/media/Gwf3WHma4AAhu8K.jpg","","in","","0","0","0","https://x.com/undefined/status/1947797331652579470","1897348178011389953",
"1947795582892052749","Tue Jul 22 23:07:09 +0000 2025","0","Vonis Janggal dan Nodai Keadilan Tom Lembong Banding https://t.co/PluQaLZ7gF https://t.co/ZknZMsG3wB","1947795582892052749","https://pbs.twimg.com/media/Gwf1wqsbEAMhMNS.jpg","","in","","0","0","0","https://x.com/undefined/status/1947795582892052749","1919081945503555584",
"1947791854252265706","Tue Jul 22 22:52:20 +0000 2025","0","Mahfud MD Nilai Vonis terhadap Tom Lembong Keliru Dengan Putusan Hakim Ini Semua Pejabat Bisa di Tangkap https://t.co/TBM7Kuj5B9 https://t.co/8HTOAqHXRG","1947791854252265706","https://pbs.twimg.com/media/GwfyXExboAAxso-.jpg","","in","","0","0","0","https://x.com/undefined/status/1947791854252265706","1602956893",
"1947791492195749918","Tue Jul 22 22:50:54 +0000 2025","0","Mahfud MD Nilai Vonis terhadap Tom Lembong Keliru Dengan Putusan Hakim Ini Semua Pejabat Bisa di Tangkap https://t.co/X3hTNn19VZ https://t.co/TUT0Nzutq7","1947791492195749918","https://pbs.twimg.com/media/GwfyCIfbEAQfeJx.jpg","","in","","0","0","0","https://x.com/undefined/status/1947791492195749918","1350787273",
"1947786233394172337","Tue Jul 22 22:30:00 +0000 2025","0","Soedeson Tandra Nilai Vonis Tom Lembong Aneh Harus Dilihat Pertimbangan Hukumnya https://t.co/e6EUBzl4da","1947786233394172337","","","in","","0","0","2","https://x.com/undefined/status/1947786233394172337","853782937782714368",
"1947785096079282390","Tue Jul 22 22:25:29 +0000 2025","1","Mantan Menteri Perdagangan Thomas Trikasih Lembong alias Tom Lembong divonis 4 5 tahun penjara di kasus korupsi impor gula. Tom Lembong resmi mengajukan permohonan banding untuk melawan vonis tersebut. Rakyat Bersuara hadir membahas mengenai isu tersebut. https://t.co/lLQGO3tqji","1947785096079282390","https://pbs.twimg.com/ext_tw_video_thumb/1947784964097118208/pu/img/zOvaEtTXs2gksbhf.jpg","","in","","0","0","0","https://x.com/undefined/status/1947785096079282390","3232064515",
